"Flume","Treatment","Order","Family","Type","Sample_Group","Plate_ID","Plate_Position","Sample_ID","Weight_mg","d15N","perc_N","d13C","perc_C","C_N","Concd15N","Concd13C"
"Flume 2","Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","D9","F2CH1",0.6538,7.64671428571429,8.29847719486551,-25.5672857142857,40.0398165320941,4.82495951870156,0.0829847719486551,0.400398165320941
"Flume 2","Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","D10","F2CH2",0.6603,7.63371428571429,8.64362414405726,-25.6992857142857,40.7088854175544,4.70970101650508,0.0864362414405726,0.407088854175544
"Flume 2","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","D11","F2EPH1",0.883,7.97271428571429,9.62306778614736,-28.0882857142857,40.0475414913771,4.16161897446327,0.0962306778614736,0.400475414913771
"Flume 2","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","D12","F2EPH2",0.3974,8.81371428571429,11.2102694393808,-30.1652857142857,45.650085983725,4.07216670665915,0.112102694393808,0.45650085983725
"Flume 3","ALAN","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","E1","F3G1",0.77,6.64071428571429,6.4242837450202,-25.4332857142857,31.7884090171361,4.94816391660424,0.064242837450202,0.317884090171361
"Flume 3","ALAN","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","E2","F3G2",0.8207,8.04971428571429,8.15550775843694,-26.6912857142857,39.9173320987745,4.89452444668202,0.0815550775843694,0.399173320987745
"Flume 3","ALAN","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","E3","F3G3",0.9148,7.59171428571429,6.07949036390248,-27.3492857142857,37.8426134377728,6.22463581198627,0.0607949036390248,0.378426134377728
"Flume 3","ALAN","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","E4","F3CH1",0.8377,7.18971428571429,8.49748589069779,-25.2382857142857,36.8534691999845,4.33698504169663,0.0849748589069779,0.368534691999845
"Flume 3","ALAN","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","E5","F3CH2",0.665,7.65571428571429,8.95285034969226,-26.2182857142857,41.7031291215591,4.65808401711892,0.0895285034969226,0.417031291215591
"Flume 3","ALAN","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","E6","F3CH3",0.8812,7.33371428571429,7.955993036765,-25.3832857142857,37.2733050294822,4.68493434537217,0.07955993036765,0.372733050294822
"Flume 3","ALAN","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","E7","F3EPH1",0.8885,7.89671428571429,9.70036387331994,-27.4232857142857,44.2543979790078,4.56213793182809,0.0970036387331994,0.442543979790078
"Flume 3","ALAN","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","E8","F3EPH2",0.5174,8.24771428571428,11.056868858386,-30.3242857142857,43.7715472678158,3.95876516475256,0.11056868858386,0.437715472678158
